what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1366294881531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294882000
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1366294882125
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1366294882140
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1366294887828
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1366294887859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294888078
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1366294888156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294888468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294894281
error,log,,,"Problems encountered during text search.",1366294901375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294901390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294904093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366294909765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366296535250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366296547093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366296569218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366296574296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366296583484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366296585328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297045250
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366297051578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297056656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297066593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297117859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297119031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297262890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366297872140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366298887609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366298888109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366298891828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366298899968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366298903890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366298907296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366299217093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366299225218
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1366299233875
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366299244203
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1366299248734
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1366299251218
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1366299251359
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1366299253125
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366299253312
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366299253390
